直播源,#genre#

CCTV1,http://39.134.18.118:80/wh7f454c46tw2600624633_-2040286970/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/index.m3u8
CCTV2,http://39.134.18.117:80/wh7f454c46tw2706447250_1761161436/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/index.m3u8
CCTV3,http://39.134.18.117:80/wh7f454c46tw2824245784_-1151994184/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
CCTV4,http://39.134.18.114:80/wh7f454c46tw2892309480_-1953449627/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/index.m3u8
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV5+,http://39.134.18.114:80/wh7f454c46tw3079560693_-675098641/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/index.m3u8
CCTV5,http://39.134.18.113:80/wh7f454c46tw3005771733_-1521645805/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/index.m3u8
CCTV6,http://39.134.18.68:80/wh7f454c46tw3181576686_278313979/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV7,http://39.134.18.116:80/wh7f454c46tw3281866654_1270965930/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/index.m3u8
CCTV8,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV9,http://39.134.18.120:80/wh7f454c46tw3369512769_39770195/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/index.m3u8
CCTV10,http://39.134.18.118:80/wh7f454c46tw3431486794_1568127109/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/index.m3u8
CCTV11,http://39.134.18.117:80/wh7f454c46tw3489734752_972532156/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226240/index.m3u8
CCTV12,http://39.134.18.113:80/wh7f454c46tw3536139867_-2000182188/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226190/index.m3u8
CCTV13,http://39.134.18.118:80/wh7f454c46tw3582933624_-914056292/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/index.m3u8
CCTV14,http://39.134.18.114:80/wh7f454c46tw3628767004_1603320212/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/index.m3u8
CCTV15,http://39.134.18.117:80/wh7f454c46tw3675225740_-837161802/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/index.m3u8
CCTV16,http://39.134.24.162:80/wh7f454c46tw3723282179_999955059/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/index.m3u8
CCTV16-4K,https://live.goodiptv.club/api/cqyx.php?id=CCTV16_4K
CCTV17,http://39.134.18.118:80/wh7f454c46tw3783312464_179705542/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/index.m3u8
CHC动作电影,http://39.134.18.114:80/wh7f454c46tw1257601251_-403165341/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
CHC家庭影院,http://39.134.18.114:80/wh7f454c46tw1117523950_-1706845563/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/index.m3u8
CHC高清电影,http://39.134.18.114:80/wh7f454c46tw1197622662_-384781285/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/index.m3u8
Channel [V],http://j.cxctu.cf:4000/udp/239.93.0.157:2194
M1905电影网,http://nas.jdshipin.com:8801/1905.php?id=1905dy
NewTV动作电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
NewTV爱情喜剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
TVB星河,http://r.jdshipin.com/sXuuD
东方卫视,http://39.134.18.115:80/wh7f454c46tw50292329_-1167983259/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225797/index.m3u8
中国交通,https://tv.lanjingfm.com/cctbn/hainan.m3u8
中国功夫,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
五星体育,http://zteres.sn.chinamobile.com:6060/000000001000/5000000010000017540/index.m3u8?channel-id=bestzb&Contentid=5000000010000017540&livemode=1&stbId=3
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰香港,http://r.jdshipin.com/yDoTN
动漫秀场,http://nas.jdshipin.com:8801/bst.php?id=dmxc8m/8000000
劲爆体育,http://zteres.sn.chinamobile.com:6060/000000001000/5000000002000029972/index.m3u8?channel-id=bestzb&Contentid=5000000002000029972&livemode=1&stbId=3
北京卫视,http://39.134.18.66:80/wh7f454c46tw2107346_1674807202/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225796/index.m3u8
华数4K影视,http://r.jdshipin.com/Lqdwf
华语影院,http://nas.jdshipin.com:8801/bst.php?id=hyyy8m/8000000
天津卫视,http://39.134.18.120:80/wh7f454c46tw4053847686_584931743/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226204/index.m3u8
安徽卫视,http://39.134.18.118:80/wh7f454c46tw4253299049_-1683047191/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226196/index.m3u8
山东卫视,http://39.134.18.113:80/wh7f454c46tw4147430594_-1122541671/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226209/index.m3u8
广东卫视,http://39.134.18.119:80/wh7f454c46tw290288538_397486719/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225803/index.m3u8
广州影视,https://justsometime.gztv.com/sec/yingshi.m3u8
快乐垂钓,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226805/index.m3u8
斗鱼4K影院,http://mmitv.top/test/douyu.php?id=9249162
无线新闻,http://r.jdshipin.com/CkuBd
无线财经,http://r.jdshipin.com/jUx8K
明珠台,http://r.jdshipin.com/ZQ4kN
星空卫视,http://j.cxctu.cf:4000/udp/239.93.0.156:2193
